Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET,Crop,Growth_Stage,NDVI_N,EVI_N,NDWI_N,SAVI_N,VV_N,VH_N,VV_VH_N,Temperature_N,Rainfall_N,Soil_Moisture_N,ET_N,Stress_Class,Stress_Score
G0027,78.13558298676604,9.917247814680545,0.6821581125259399,1.3534711181770005,-0.6512847542762756,1.0231005474696222,-8.12756341331706,-17.031283372378077,0.4772137974345857,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.8284982881020676,0.7149625014584731,0.1708331296508738,0.8284933024974844,0.5483999194485293,0.39337864588496074,0.3526148878898025,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0028,78.13567407095566,9.91724696260636,0.7421895265579224,1.5364130434782608,-0.6478768587112427,1.1131382071137945,-10.508153769746723,-16.924620633326427,0.6208797229436872,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9284533747352802,0.8310525557372862,0.1795437190062948,0.9284515655940656,0.2668662404716753,0.40277434718866884,0.6034826670139201,0.0,0.0,0.0,0.0,No Stress,0.2
G0029,78.13576515513708,9.91724611050752,0.7159932851791382,1.5015541963300914,-0.6192194819450378,1.0738615991394764,-12.473891047389913,-15.703001847380115,0.7943634706679381,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.8848354187250168,0.8089320633959937,0.25279204374231934,0.8848473501029728,0.03439396896888863,0.5103842334694999,0.9064179827576266,0.0,0.0,0.0,0.0,No Stress,0.2
G0030,78.13585623931026,9.917245258384025,0.6505351066589355,1.3222358838551027,-0.59165358543396,0.9756891939048505,-11.336528811222985,-13.975671374211052,0.8111616614098405,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7758445177052048,0.6951414569282525,0.32325054229073624,0.7758580321881322,0.16890084614436843,0.6625412221516518,0.9357507893350456,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0031,78.13594732347522,9.917244406235875,0.7537740468978882,1.5427232047730663,-0.6665841937065125,1.1305139882888744,-10.574716254099847,-12.802130421522337,0.8260122265527099,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9477421380079326,0.8350568153733193,0.13172772524460943,0.9477418593785918,0.2589944194961928,0.7659160309852487,0.9616826745954351,0.0,0.0,0.0,0.0,No Stress,0.2
G0032,78.13603840763199,9.917243554063072,0.7403702139854431,1.5806899498024138,-0.6578508615493774,1.1104164061523072,-10.222569180003596,-12.789757172864334,0.799277815977033,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9254241349826038,0.8591494966107593,0.15405014348589735,0.925429868920917,0.3006400814822984,0.7670059650107645,0.9149993557531568,0.0,0.0,0.0,0.0,No Stress,0.2
G0033,78.13612949178052,9.917242701865613,0.585411787033081,1.0390912128299366,-0.585784912109375,0.8780143512527938,-8.358485227390172,-13.697999361926883,0.6101975191079578,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.6674111722641543,0.5154654194429196,0.33825088558649047,0.6674210997054763,0.5210906145542945,0.6870007786098661,0.5848295261043813,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0034,78.13622057592083,9.917241849643501,0.5243600606918335,1.0609267097349075,-0.5004063844680786,0.7864318150543553,-6.357738752691038,-14.849396007231793,0.42814796976218833,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5657572183477023,0.5293216419393681,0.5564786099582609,0.5657477411957829,0.7577031481641529,0.5855766162682458,0.26693670654344565,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0035,78.13631166005294,9.917240997396734,0.29058441519737244,0.6679935315337728,-0.3648068606853485,0.4358176653591235,-5.906531322836873,-16.941061579730718,0.34865178283182646,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.17650993382288713,0.27997675333497324,0.903071322652078,0.1765019349506568,0.8110638985198123,0.40132609803494895,0.12812138347094612,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0036,78.1364027441768,9.917240145125312,0.21281923353672028,0.3386454183266932,-0.3734051585197449,0.31918888471648516,-6.31085203821584,-21.49703238868192,0.29356852258074806,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.04702730218277898,0.0709812468327184,0.8810940524682401,0.04702266609601745,0.7632480707442547,0.0,0.03193563088462124,0.0,0.0,0.0,0.0,Moderate Stress,0.7
G0037,78.13649382829247,9.917239292829237,0.5203274488449097,0.8770235467255335,-0.5757918357849121,0.780384667848861,-6.484453654055401,-17.474087693697335,0.3710896824899337,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5590427327235149,0.4126216119126448,0.3637932129843472,0.5590343022443554,0.7427175744110095,0.35437292396090375,0.16730218459335666,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0038,78.13558212740314,9.917157504756847,0.4332506060600281,0.6468104023116248,-0.5556154251098633,0.6497953107554894,-10.050183316048457,-16.37870659057038,0.6136127575442735,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.41405575374493486,0.26653450592697936,0.415364167757717,0.41405624122477924,0.3210268004118336,0.45086279240243504,0.5907931760002194,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0039,78.1356732115679,9.917156652690572,0.5302435159683228,0.8796698523023457,-0.5726587772369385,0.7952611598376751,-10.328329543642463,-15.813233914235965,0.6531446761401738,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5755534440629722,0.41430088667453746,0.3718013182555033,0.5755499281063421,0.2881326359300801,0.5006741174207603,0.6598233554775419,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0040,78.13576429572446,9.917155800599643,0.6282218098640442,1.2200424714329052,-0.6015365123748779,0.9422100741897697,-10.104586645502025,-15.21523530127154,0.6641097850558764,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7386918443895685,0.6302922498616189,0.29798975698520686,0.7386900885748998,0.3145929469568345,0.5533505852988704,0.6789705019688794,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0041,78.13585537987278,9.91715494848406,0.5637680888175964,1.1338904003109211,-0.5532629489898682,0.8455500543412632,-8.784637682141886,-14.055373647722043,0.6250020741046336,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.6313734116170487,0.5756224490692994,0.4213771024438518,0.6313797949364185,0.4706929188452335,0.6555204128062899,0.6106810689791156,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0042,78.13594646401289,9.91715409634382,0.6155462265014648,1.2097440132122212,-0.5729992389678955,0.9231981094919259,-8.802862090385768,-13.71150615462068,0.6420054800047816,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.7175864106168753,0.6237571236358589,0.370931097242855,0.7175833319492795,0.4685376615636863,0.6858109930216619,0.6403722198946875,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0043,78.13603754814478,9.917153244178929,0.7432323694229126,1.543299198575245,-0.6711202263832092,1.1146991826343293,-9.607026852720713,-14.289259642891611,0.6723250254256428,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9301897564380233,0.8354223256392087,0.12013361468708872,0.930184533802986,0.3734354263419779,0.6349178765384969,0.693315859778888,0.0,0.0,0.0,0.0,No Stress,0.2
G0044,78.13612863226845,9.917152391989381,0.7340039014816284,1.4825056433408579,-0.67458176612854,1.1008520743120547,-8.398048880730071,-15.156385218376203,0.5540931270701633,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.9148239296049013,0.7968443609909194,0.11128591067631351,0.914811712005142,0.5164117327599266,0.5585345680607914,0.4868606849908449,0.0,0.0,0.0,0.0,No Stress,0.2
