Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET
G0030,78.13585623931026,9.917245258384025,0.6505351066589355,1.3222358838551027,-0.59165358543396,0.9756891939048505,-11.336528811222985,-13.975671374211052,0.8111616614098405,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0031,78.13594732347522,9.917244406235875,0.7537740468978882,1.5427232047730663,-0.6665841937065125,1.1305139882888744,-10.574716254099847,-12.802130421522337,0.8260122265527099,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0032,78.13603840763199,9.917243554063072,0.7403702139854431,1.5806899498024138,-0.6578508615493774,1.1104164061523072,-10.222569180003596,-12.789757172864334,0.799277815977033,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0033,78.13612949178052,9.917242701865613,0.585411787033081,1.0390912128299366,-0.585784912109375,0.8780143512527938,-8.358485227390172,-13.697999361926883,0.6101975191079578,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0034,78.13622057592083,9.917241849643501,0.5243600606918335,1.0609267097349075,-0.5004063844680786,0.7864318150543553,-6.357738752691038,-14.849396007231793,0.42814796976218833,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0035,78.13631166005294,9.917240997396734,0.29058441519737244,0.6679935315337728,-0.3648068606853485,0.4358176653591235,-5.906531322836873,-16.941061579730718,0.34865178283182646,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0036,78.1364027441768,9.917240145125312,0.21281923353672028,0.3386454183266932,-0.3734051585197449,0.31918888471648516,-6.31085203821584,-21.49703238868192,0.29356852258074806,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0037,78.13649382829247,9.917239292829237,0.5203274488449097,0.8770235467255335,-0.5757918357849121,0.780384667848861,-6.484453654055401,-17.474087693697335,0.3710896824899337,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0038,78.13558212740314,9.917157504756847,0.4332506060600281,0.6468104023116248,-0.5556154251098633,0.6497953107554894,-10.050183316048457,-16.37870659057038,0.6136127575442735,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0039,78.1356732115679,9.917156652690572,0.5302435159683228,0.8796698523023457,-0.5726587772369385,0.7952611598376751,-10.328329543642463,-15.813233914235965,0.6531446761401738,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0040,78.13576429572446,9.917155800599643,0.6282218098640442,1.2200424714329052,-0.6015365123748779,0.9422100741897697,-10.104586645502025,-15.21523530127154,0.6641097850558764,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0041,78.13585537987278,9.91715494848406,0.5637680888175964,1.1338904003109211,-0.5532629489898682,0.8455500543412632,-8.784637682141886,-14.055373647722043,0.6250020741046336,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0042,78.13594646401289,9.91715409634382,0.6155462265014648,1.2097440132122212,-0.5729992389678955,0.9231981094919259,-8.802862090385768,-13.71150615462068,0.6420054800047816,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0043,78.13603754814478,9.917153244178929,0.7432323694229126,1.543299198575245,-0.6711202263832092,1.1146991826343293,-9.607026852720713,-14.289259642891611,0.6723250254256428,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0044,78.13612863226845,9.917152391989381,0.7340039014816284,1.4825056433408579,-0.67458176612854,1.1008520743120547,-8.398048880730071,-15.156385218376203,0.5540931270701633,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0045,78.1362197163839,9.91715153977518,0.6001172661781311,1.4316687648622184,-0.5585379600524902,0.9000439689286238,-6.779707449158469,-16.448244543207473,0.4121842565842834,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0046,78.13631080049115,9.917150687536324,0.27808070182800293,0.581329077852502,-0.3743770122528076,0.4170641951751397,-5.885415321427749,-18.270409495526483,0.32212826553607327,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0047,78.13640188459014,9.917149835272815,0.27292054891586304,0.4505176346727496,-0.3732798099517822,0.40932642487046633,-5.683741303578628,-18.94248446680436,0.3000525782950524,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0048,78.13549018390036,9.917068046866303,0.22247812151908875,0.3008221225710015,-0.42381975054740906,0.33367875647668394,-8.308115981252351,-14.663383329282475,0.5665892921629632,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0049,78.13558126804848,9.917067194832592,0.1845753937959671,0.22678875638841567,-0.4140160381793976,0.27683309866782196,-9.122801267185553,-16.11804711474724,0.5659991686485781,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0050,78.13567235218838,9.917066342774227,0.2540813982486725,0.34574468085106386,-0.45246338844299316,0.3810782848603288,-9.011418877452575,-16.093915312554298,0.5599270719675705,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0051,78.13576343632006,9.917065490691208,0.3591921031475067,0.5759605476225527,-0.5087898373603821,0.5387263339070568,-9.748179095230217,-16.234201778765623,0.6004717218669081,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0052,78.13585452044353,9.917064638583534,0.3151618540287018,0.6014304291287387,-0.43661317229270935,0.4726924305333759,-7.474758256272739,-15.460221912128965,0.4834832448561807,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0053,78.13594560455877,9.917063786451209,0.42168673872947693,0.7529293299157818,-0.5082948207855225,0.6324490580545944,-6.811392172265689,-16.353372918771743,0.41651298518650026,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
G0054,78.1360366886658,9.917062934294227,0.6442516446113586,1.3173652694610778,-0.608914852142334,0.9662464416429443,-8.433668762071312,-16.9653511804346,0.49711135787141825,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05
